left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
abm,0.4379906,0.24912134,0.3685672,0.29136235,0.18404381,0.2512262,0.29873478,0.43632904,0.3083815,0.54808587,0.18501997,0.25470677,0.20542923,0.5383129,0.6469664,0.8242386,0.2872895,0.2953118,0.3830822,0.35003722
aci,0.4368965,0.3714789,0.1994964,0.3875044,0.52059776,0.5828137,0.39274475,0.5123071,0.15838149,0.5823602,0.4972836,0.50167394,0.13332018,0.6133906,0.5228567,0.6875962,0.69081074,0.40896827,0.67654216,0.6197707
acn,0.42060047,0.37056983,0.32550752,0.31562555,0.25645605,0.74960715,0.12306571,0.36763984,0.44200352,0.6414321,0.7912759,0.48135918,0.6156252,0.1372561,0.34726012,0.42375392,0.85170484,0.45803475,0.32319602,0.6404669
aco,0.3224807,0.5681313,0.5782336,0.53160703,0.12915571,0.65891314,0.64493597,0.46358818,0.30833882,0.34239155,0.1861905,0.15099575,0.13011551,0.18160328,0.8400343,0.5298364,0.37946403,0.32006204,0.46594256,0.7258109
acu,0.40226358,0.50995564,0.55862033,0.8544659,0.73999184,0.24385698,0.038161285,0.2755454,0.275291,0.2998259,0.38320792,0.046951775,0.6192337,0.32138777,0.090844005,0.09914814,0.18890253,0.064057216,0.7839271,0.22902757
acw,0.7348988,0.5786896,0.5396418,0.37464142,0.68904805,0.71908146,0.5682769,0.26982498,0.1250399,0.12664963,0.162821,0.5305616,0.200183,0.73547626,0.14912736,0.32191157,0.12765783,0.8056866,0.13808286,0.2524904
adt,0.35124308,0.58191735,0.09088637,0.44796678,0.2802276,0.095678344,0.1779455,0.083677724,0.08039817,0.45054573,0.41551602,0.4199409,0.6084598,0.8039893,0.2891986,0.32730657,0.5763041,0.4278455,0.19906531,0.22593328
aei,0.34954765,0.28658843,0.121921234,0.2252249,0.98506594,0.23854545,0.13785689,0.2589469,0.10508749,0.19457161,0.2918368,0.2106157,0.19395643,0.14458126,0.9898457,0.14867541,0.18485174,0.99039185,0.17453423,0.26007882
aej,0.39411116,0.20307395,0.13773602,0.18316689,0.18235773,0.2107812,0.08271088,0.24689181,0.9928116,0.20704308,0.17564842,0.8511603,0.99738264,0.23398352,0.11141111,0.08570896,0.2444927,0.96823,0.078580864,0.20065358
aem,0.85278296,0.31640324,0.059565943,0.4868398,0.41272306,0.23474424,0.37778407,0.4920714,0.46024668,0.3675933,0.4819486,0.31596124,0.28530955,0.148804,0.42249298,0.56559867,0.6919877,0.24462949,0.5787235,0.19168538
aes,0.35424218,0.3006668,0.17794819,0.22895817,0.21896179,0.19673741,0.10109576,0.8632229,0.30245307,0.31180894,0.96870005,0.08519761,0.05416552,0.61650693,0.21758795,0.15731204,0.61755735,0.8951072,0.3180262,0.5928798
afd,0.1885516,0.20917681,0.15608999,0.21325576,0.14197344,0.22977214,0.110692665,0.20016286,0.091049634,0.121413074,0.99666953,0.97212166,0.9890865,0.19160697,0.16268608,0.24535461,0.98955745,0.23633341,0.24774183,0.22926617
afl,0.14713424,0.1721434,0.1388138,0.12840289,0.06961383,0.1847839,0.99569726,0.15493816,0.9985724,0.17836542,0.9959655,0.12309079,0.62504613,0.13436684,0.09416604,0.17891563,0.24961126,0.12128958,0.1433423,0.99387413
agb,0.32003868,0.96609724,0.27600315,0.74531305,0.26525015,0.1334817,0.13910574,0.12782896,0.4351973,0.1368044,0.15982905,0.46637392,0.55694544,0.32990175,0.14120159,0.9001556,0.65976703,0.21523573,0.19837804,0.16987014
agl,0.1796213,0.24619788,0.081009746,0.99447155,0.99855673,0.9946417,0.9958992,0.038108222,0.2294742,0.9993778,0.08657324,0.9818568,0.11423957,0.0962781,0.051727705,0.4752535,0.990358,0.12553978,0.27907243,0.992977
ahg,0.5856853,0.28791198,0.5515424,0.6865028,0.64627993,0.26514947,0.2221055,0.80961907,0.24256583,0.2669107,0.568995,0.38008547,0.82908756,0.24585244,0.6146412,0.48391452,0.6637456,0.62275034,0.631444,0.56675506
ahr,0.6134681,0.18501452,0.23910284,0.34852868,0.17117286,0.21525161,0.52543694,0.20480762,0.24998204,0.5815563,0.23420124,0.7808366,0.6763092,0.8576256,0.18444447,0.36746353,0.8868404,0.16731381,0.30981314,0.9592609
aik,0.2699479,0.29576448,0.65030235,0.6122189,0.12031373,0.71917534,0.8226714,0.11288239,0.11367716,0.6662603,0.4577816,0.6576866,0.84294885,0.52928966,0.6935121,0.9144127,0.8547255,0.1184123,0.958526,0.116084084
aiv,0.71166694,0.7181273,0.75998366,0.23774405,0.18592554,0.43917733,0.7324804,0.10075585,0.28537643,0.15103224,0.40092003,0.16002202,0.9323056,0.09842316,0.08300682,0.07766051,0.23572916,0.23840502,0.4065395,0.8808087
ajf,0.23999889,0.68928754,0.91384506,0.8150704,0.16678312,0.421346,0.58522713,0.35638195,0.9350774,0.12703532,0.16489865,0.95091593,0.39579245,0.19656423,0.52541745,0.57929,0.088820055,0.156843,0.18041378,0.5058134
ajk,0.4432721,0.4803637,0.5777633,0.28845283,0.2502382,0.7628612,0.12406996,0.332688,0.34116203,0.17151085,0.4146464,0.2765653,0.11818995,0.10736719,0.364675,0.41585726,0.35647193,0.75543404,0.13332883,0.55932176
aka,0.7135682,0.4671236,0.89740187,0.44433594,0.67326176,0.4265699,0.14743601,0.12487483,0.12929396,0.7401763,0.67959905,0.97589386,0.30812326,0.18160194,0.6775393,0.6448616,0.1949378,0.32134312,0.60800016,0.95716417
akg,0.2912096,0.18997726,0.2947589,0.8228826,0.65568256,0.44737774,0.30944782,0.46155074,0.08137983,0.06499099,0.22042874,0.6061859,0.46101564,0.39546123,0.4966775,0.91598606,0.5789447,0.08351509,0.5322442,0.06609274
alc,0.17482364,0.35543582,0.24915242,0.6983098,0.4203783,0.15279222,0.6534671,0.3241132,0.7147467,0.36497897,0.579002,0.3508836,0.6363429,0.49433744,0.2814995,0.18976822,0.6171044,0.32769394,0.44739044,0.44410938
ali,0.10668467,0.34211272,0.6672566,0.50156707,0.8233387,0.39839154,0.6517186,0.9496325,0.09468508,0.693125,0.29062065,0.8419969,0.57303596,0.7894984,0.39908034,0.18771689,0.9103049,0.41093862,0.2952901,0.95725286
alt,0.35510874,0.87145114,0.81935,0.5895805,0.4485725,0.6129189,0.11358829,0.60645556,0.12245841,0.70065975,0.23553586,0.43371448,0.59424347,0.112754956,0.6090249,0.6340597,0.49629736,0.7518597,0.10032479,0.45312983
