left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
abm,0.999243,0.999426,0.9994507,0.9989081,0.99889016,0.998966,0.9990492,0.9994734,0.9993652,0.9993067,0.99914086,0.99883044,0.99915916,0.99955016,0.9995136,0.99883056,0.9995167,0.999215,0.99931383,0.9990023
aci,0.99890244,0.999103,0.9991275,0.99932986,0.99929464,0.9993881,0.99907327,0.9991652,0.99921703,0.99923664,0.999075,0.99887544,0.99848235,0.9992698,0.99928147,0.9992346,0.9992432,0.99932784,0.99913937,0.9991672
acn,0.999043,0.9988593,0.999355,0.99871796,0.9984237,0.99915963,0.9985127,0.9990074,0.9988175,0.99912024,0.99921334,0.99893475,0.99912953,0.99903595,0.9988426,0.99900496,0.9991174,0.9992688,0.99899054,0.99907315
aco,0.99941933,0.99940264,0.99918485,0.9995159,0.9992687,0.9993318,0.9990746,0.9993232,0.9992219,0.9990486,0.9993664,0.99906486,0.99928224,0.9990938,0.9992727,0.9991633,0.99923617,0.9992516,0.9991701,0.9993168
acu,0.99913,0.9993309,0.99922556,0.9989672,0.9991735,0.99908733,0.9989862,0.99889755,0.9988359,0.9992689,0.99934405,0.9990736,0.99910945,0.999146,0.99889314,0.99909693,0.9992737,0.99916595,0.9987819,0.9992156
acw,0.9993341,0.99890566,0.9992536,0.9995408,0.9993886,0.99934244,0.9993926,0.9992165,0.99876076,0.99896085,0.99950063,0.99861956,0.99797446,0.9991555,0.9990642,0.9989203,0.99913657,0.9991765,0.99870014,0.9990183
adt,0.9990319,0.9992868,0.9994967,0.9994441,0.9991723,0.99940753,0.9993935,0.99924517,0.9988549,0.9994443,0.9993996,0.99934036,0.99940246,0.9993853,0.99897563,0.9991906,0.99940777,0.9992782,0.999458,0.99886584
aei,0.9988953,0.99944705,0.99957716,0.9986442,0.99922246,0.999341,0.9993954,0.99871975,0.9993688,0.9991904,0.9991833,0.99909776,0.9993577,0.99926686,0.9990629,0.99947023,0.9992515,0.9993001,0.99941415,0.99907184
aej,0.99933445,0.9994951,0.9993565,0.9993047,0.999115,0.99901783,0.9993502,0.9993776,0.999081,0.9989957,0.999448,0.999084,0.9993447,0.9993528,0.9992995,0.9993868,0.99944305,0.99766505,0.99938256,0.99938047
aem,0.9993207,0.9995113,0.99899256,0.9994025,0.9992826,0.99946797,0.99942064,0.99898076,0.99926114,0.99904364,0.9990468,0.998752,0.9992797,0.99884814,0.9993839,0.99928206,0.99935216,0.99920094,0.9988901,0.9989763
aes,0.99938387,0.9986315,0.9988995,0.9987807,0.9990722,0.99851465,0.998767,0.99905694,0.9989285,0.999061,0.9988889,0.9989336,0.99843854,0.9989132,0.99870884,0.9988717,0.99882895,0.99937975,0.9987261,0.9992845
afd,0.9993768,0.9994211,0.9994216,0.9991173,0.99941736,0.99923486,0.9992167,0.99926484,0.99887323,0.9992411,0.99952173,0.99924296,0.999107,0.9991033,0.99923897,0.9989686,0.9986634,0.99939466,0.99934053,0.99928916
afl,0.99916804,0.99890256,0.9992616,0.99870706,0.999042,0.99904704,0.99916613,0.9988932,0.9992893,0.9992634,0.99912524,0.9992388,0.9992784,0.99926,0.9988228,0.99851394,0.9985899,0.9990461,0.9992199,0.99906814
agb,0.9979743,0.9995628,0.9989258,0.999349,0.99956906,0.99901986,0.9995427,0.9995153,0.9994254,0.9992633,0.99948645,0.9991542,0.99917054,0.99915534,0.998263,0.99964535,0.998955,0.99936163,0.99935156,0.99895203
agl,0.99922043,0.999215,0.99880373,0.99929225,0.99897635,0.9993266,0.9988359,0.9991515,0.9993505,0.99945366,0.9989928,0.99925745,0.999273,0.99906063,0.99922276,0.9989868,0.99922085,0.9993535,0.999145,0.99934274
ahg,0.9992758,0.99908394,0.99943817,0.99917674,0.9993429,0.9990508,0.99932516,0.99952066,0.99861324,0.99834,0.9993462,0.99891675,0.9992721,0.99925995,0.9987856,0.99933183,0.9992957,0.9993475,0.9987599,0.99902725
ahr,0.99848306,0.99900013,0.99883133,0.9988757,0.9987694,0.9985209,0.99872315,0.998443,0.9987381,0.9993482,0.99819046,0.9987689,0.9989684,0.9989625,0.9986646,0.99887854,0.99895823,0.9986242,0.9990977,0.99871916
aik,0.9992134,0.9993938,0.9994426,0.99946755,0.99902236,0.9994455,0.99927676,0.99937737,0.99922293,0.99900293,0.9993387,0.9993485,0.99791723,0.9992938,0.9991809,0.999184,0.9985103,0.9992343,0.9990391,0.99890214
aiv,0.99916947,0.9990698,0.9993474,0.99925023,0.9989641,0.9991667,0.99940497,0.9994124,0.9993161,0.9990678,0.9990538,0.9987827,0.9993402,0.99960315,0.9990372,0.99937326,0.9987604,0.9987476,0.9989533,0.9993986
ajf,0.99916697,0.9992821,0.99953914,0.99933124,0.99854684,0.99878037,0.9992679,0.99943626,0.9994153,0.9989798,0.9991963,0.9993258,0.9987719,0.99872404,0.9990742,0.99934363,0.99915785,0.999521,0.9988533,0.99875665
ajk,0.99935216,0.9994077,0.9990618,0.9992473,0.99931866,0.99963796,0.9994256,0.99939346,0.9989783,0.99917436,0.9992064,0.99917936,0.9994072,0.99928665,0.99929947,0.9989912,0.9991944,0.9994489,0.99868476,0.99941444
aka,0.9989748,0.999107,0.99925774,0.9992622,0.99940956,0.9991375,0.99941915,0.9995109,0.9993632,0.9992391,0.99950963,0.99822176,0.99853283,0.9992615,0.99926263,0.99926424,0.99933815,0.99921393,0.99945915,0.9993735
akg,0.99912316,0.9993169,0.99923265,0.99902636,0.99925214,0.99932206,0.99905217,0.9994371,0.9992311,0.99890757,0.9993975,0.9990805,0.9996261,0.99929225,0.9993458,0.99939716,0.99943995,0.9991852,0.99948394,0.9987701
alc,0.99866426,0.99883944,0.99601275,0.99877787,0.9987011,0.99852604,0.9983009,0.99867076,0.99903536,0.9989015,0.99896514,0.99850976,0.9990042,0.9988182,0.99899787,0.9985198,0.9990022,0.99846643,0.99867773,0.99868846
ali,0.9992427,0.99945843,0.9993695,0.99930197,0.9988744,0.99890554,0.99938065,0.99925107,0.99916816,0.9990328,0.9990312,0.99945676,0.9987991,0.99947774,0.9993779,0.99923027,0.9993271,0.9991802,0.9992357,0.9992838
alt,0.99913394,0.9991878,0.99908364,0.99949044,0.99934775,0.9992904,0.99897635,0.9993139,0.9991315,0.9992833,0.9981171,0.9996145,0.99946016,0.99880314,0.99943376,0.9992138,0.9991581,0.9993808,0.99930656,0.9994799
alx,0.9992721,0.9992167,0.99927247,0.999368,0.9991216,0.99929714,0.9992624,0.99925363,0.99948156,0.9993655,0.9994495,0.9991162,0.9991431,0.99943846,0.9995601,0.9994817,0.99941194,0.99949855,0.9994554,0.9994157
aly,0.9988462,0.9985574,0.9991026,0.99856514,0.99890125,0.998855,0.99891853,0.99859256,0.9987997,0.9988783,0.99936545,0.9985539,0.9983768,0.9989376,0.99833053,0.9989965,0.9982381,0.998832,0.9990225,0.99856436
ama,0.99925876,0.99910283,0.9992807,0.9993675,0.99917144,0.9990741,0.99905276,0.9993206,0.99900234,0.99897736,0.9988586,0.99905866,0.99888706,0.99924743,0.99913824,0.9989133,0.99884987,0.9992514,0.99919206,0.9988316
amb,0.9972714,0.99737334,0.9978768,0.9976237,0.99800736,0.99882823,0.9975431,0.99846256,0.99759746,0.9977919,0.99797577,0.9978056,0.9979274,0.99803364,0.997813,0.99782926,0.9977143,0.9982353,0.9976524,0.99828184
